Sale_Date,Diesel price,Predicted values
16-04-2022,5,5.26
17-04-2022,6,6.09
18-04-2022,5.6,5.76
18-04-2022,5.12,5.36
21-04-2022,5.1,5.35
22-04-2022,5.34,5.55
24-04-2022,5.45,5.64
25-04-2022,4,4.43
26-04-2022,6.17,6.24
26-04-2022,4.6,4.93
29-04-2022,3.2,3.76
30-04-2022,5.13,5.37
02-05-2022,4.99,5.25
03-05-2022,5.2,5.43
04-05-2022,6.08,6.16
05-05-2022,5.95,6.05
06-05-2022,5.13,5.37
07-05-2022,4.8,5.1
08-05-2022,5.1,5.35
09-05-2022,5.67,5.82
10-05-2022,5.98,6.08
11-05-2022,6.04,6.13
12-05-2022,6.89,6.84
13-05-2022,7.37,7.24
14-05-2022,7.85,7.64
15-05-2022,8.64,8.29
16-05-2022,9.59,9.08
17-05-2022,9.11,8.68
18-05-2022,9.27,8.82
19-05-2022,9.36,8.89
20-05-2022,7.69,7.5
21-05-2022,6.27,6.32
22-05-2022,7.08,
