Date,Open_Stock_Rate,Max__Stock_Rate,Min__Stock_Rate,Close__Stock_Rate
06/30/2023,17134.96,17233.68,17134.96,17203.80
06/29/2023,16927.29,17073.84,16914.32,17061.21
06/28/2023,16940.69,16951.88,16877.96,16926.33
06/27/2023,16869.52,16987.83,16865.20,16963.37
06/26/2023,16865.40,16909.75,16805.16,16857.36
06/23/2023,16917.83,16917.83,16823.25,16863.72
06/22/2023,16950.24,17001.78,16917.70,16973.36
06/21/2023,16995.28,17048.97,16938.09,16975.76
06/20/2023,17103.33,17103.33,16957.97,17026.94
06/16/2023,17232.01,17294.34,17142.85,17149.56
06/15/2023,16972.99,17244.49,16972.99,17204.03
06/14/2023,17022.35,17075.71,16891.78,16989.67
06/13/2023,17055.54,17155.14,17053.99,17106.06
06-12-2023,16953.40,17038.92,16939.23,17033.17
06-09-2023,16926.22,16987.66,16893.58,16938.39
06-08-2023,16828.49,16936.91,16815.02,16916.81
06-07-2023,16781.24,16854.39,16773.06,16832.51
06-06-2023,16773.84,16815.63,16699.85,16786.64
06-05-2023,16885.57,16902.11,16776.40,16781.43
06-02-2023,16593.79,16902.50,16593.79,16881.38
06-01-2023,16464.93,16583.88,16352.26,16530.79
05/31/2023,16474.36,16492.42,16369.87,16454.14
