Date,Open_Stock_Rate,Max__Stock_Rate,Min__Stock_Rate,Close__Stock_Rate
23-01-2023,17134.96,17233.68,17134.96,17203.80
24-01-2023,16927.29,17073.84,16914.32,17061.21
25-01-2023,16940.69,16951.88,16877.96,16926.33
26-01-2023,16869.52,16987.83,16865.20,16963.37
27-01-2023,16865.40,16909.75,16805.16,16857.36
28-01-2023,16917.83,16917.83,16823.25,16863.72
29-01-2023,16950.24,17001.78,16917.70,16973.36
30-01-2023,16995.28,17048.97,16938.09,16975.76
31-01-2023,17103.33,17103.33,16957.97,17026.94
01-02-2023,17232.01,17294.34,17142.85,17149.56
02-02-2023,16972.99,17244.49,16972.99,17204.03
03-02-2023,17022.35,17075.71,16891.78,16989.67
04-02-2023,17055.54,17155.14,17053.99,17106.06
05-02-2023,16953.40,17038.92,16939.23,17033.17
06-02-2023,16926.22,16987.66,16893.58,16938.39
07-02-2023,16828.49,16936.91,16815.02,16916.81
08-02-2023,16781.24,16854.39,16773.06,16832.51
09-02-2023,16773.84,16815.63,16699.85,16786.64
10-02-2023,16885.57,16902.11,16776.40,16781.43
11-02-2023,16593.79,16902.50,16593.79,16881.38
12-02-2023,16464.93,16583.88,16352.26,16530.79
13-02-2023,16474.36,16492.42,16369.87,16454.14
