Sale_Date,Diesel_price
2022-04-16,3.65
2022-04-17,3.95
2022-04-18,3.86
2022-04-18,4.06
2022-04-21,3.83
2022-04-22,4.38
2022-04-24,4.48
2022-04-25,4.52
2022-04-26,4.79
2022-04-26,4.52
2022-04-29,4.05
2022-04-30,4.73
2022-05-02,4.42
2022-05-03,4.02
2022-05-04,4.06
2022-05-05,4.68
2022-05-06,3.88
2022-05-07,4.59
2022-05-08,4.23
2022-05-09,4.35
2022-05-10,4.43
2022-05-11,4.71
2022-05-12,4.65
2022-05-13,4.38
2022-05-14,4.29
2022-05-15,4.69
2022-05-16,4.23
2022-05-17,4.05
2022-05-18,3.86
2022-05-19,4.18
2022-05-20,4.54
2022-05-21,4.6
2022-05-22,4.19
2022-05-23,4.28
2022-05-24,3.91
2022-05-25,4.19
2022-05-26,4.2
2022-05-27,4.79
2022-05-28,4.3
2022-05-29,4.71
2022-05-30,3.85
2022-05-31,4.3
2022-06-01,4.18
2022-06-02,4.51
2022-06-03,3.81
2022-06-04,4.03
2022-06-05,4.51
2022-06-06,4.2
2022-06-07,4.47
2022-06-08,4.14
2022-06-09,4.39
2022-06-10,3.96
2022-06-11,4.47
2022-06-12,4.61
2022-06-13,4.41
2022-06-14,4.76
2022-06-15,3.86
2022-06-16,4.43
2022-06-17,4.07
2022-06-18,4.6
2022-06-19,4.32
2022-06-20,4.47
2022-06-21,4.2
2022-06-22,4.24
2022-06-23,4.21
2022-06-24,4.37
2022-06-25,4.4
2022-06-26,4.33
2022-06-27,4.73
2022-06-28,3.87
2022-06-29,4.69
2022-06-30,4.06
2022-07-01,3.91
2022-07-02,4.67
2022-07-03,4.78
2022-07-04,4.37
2022-07-05,4.61
2022-07-06,4.05
2022-07-07,4.49
2022-07-08,4.26
2022-07-09,4.38
2022-07-10,4.25
2022-07-11,4.05
2022-07-12,4.21
2022-07-13,3.9
2022-07-14,4.04
2022-07-15,4.05
2022-07-16,4.58
2022-07-17,4.56
2022-07-18,4.25
2022-07-19,4.04
2022-07-20,4.03
2022-07-21,4.39
2022-07-22,4.47
2022-07-23,4.18
2022-07-24,4.35
2022-07-25,4.02
2022-07-26,4.76
2022-07-27,4.51
2022-07-28,4.61
